Episodio,Métrica integradora,Ghosts,Points,Big Points,Steps,Ganó
1,162.0,6,120.0,4,950,0
2,170.0,7,123.0,4,1074,0
3,159.0,5,122.0,4,1124,0
4,160.0,5,123.0,4,998,0
5,156.0,4,124.0,4,1008,0
6,140.0,1,123.0,4,1168,0
7,145.0,2,123.0,4,1012,0
8,155.0,4,123.0,4,1158,0
9,136.0,0,124.0,4,998,0
10,159.0,5,122.0,4,1030,0
11,155.0,4,123.0,4,1014,0
12,157.0,5,120.0,4,962,0
13,155.0,4,123.0,4,1034,0
14,105.0,0,93.0,4,858,0
15,140.0,1,123.0,4,954,0
16,148.0,3,121.0,4,906,0
17,160.0,5,123.0,4,950,0
18,151.0,3,124.0,4,1012,0
19,153.0,4,121.0,4,970,0
20,156.0,4,124.0,4,1142,0
21,152.0,3,125.0,4,1116,0
22,143.0,2,121.0,4,1030,0
23,156.0,4,124.0,4,988,0
24,156.0,4,124.0,4,966,0
25,151.0,3,124.0,4,1038,0
26,135.0,1,118.0,4,938,0
27,136.0,1,119.0,4,1022,0
28,159.0,5,122.0,4,970,0
29,159.0,5,122.0,4,1010,0
30,140.0,2,118.0,4,930,0
31,166.0,6,124.0,4,1168,0
32,162.0,6,120.0,4,1126,0
33,132.0,0,120.0,4,904,0
34,150.0,3,123.0,4,954,0
35,148.0,3,121.0,4,1036,0
36,146.0,3,119.0,4,872,0
37,156.0,4,124.0,4,1146,0
38,149.0,3,122.0,4,1006,0
39,162.0,6,120.0,4,1074,0
40,156.0,4,124.0,4,1062,0
41,138.0,3,111.0,4,992,0
42,160.0,5,123.0,4,1096,0
43,157.0,5,120.0,4,1190,0
44,166.0,6,124.0,4,1214,0
45,161.0,5,124.0,4,1018,0
46,162.0,5,125.0,4,1086,0
47,153.0,4,121.0,4,954,0
48,156.0,4,124.0,4,1088,0
49,162.0,6,120.0,4,1038,0
50,157.0,4,125.0,4,1240,0
51,150.0,3,123.0,4,1038,0
52,155.0,4,123.0,4,1186,0
53,161.0,5,124.0,4,1048,0
54,152.0,3,125.0,4,962,0
55,149.0,4,117.0,4,1116,0
56,165.0,6,123.0,4,996,0
57,144.0,2,122.0,4,874,0
58,156.0,4,124.0,4,1110,0
59,163.0,6,121.0,4,1072,0
60,322.0,10,248.0,8,1916,1
61,154.0,4,122.0,4,1002,0
62,149.0,3,122.0,4,984,0
63,143.0,2,121.0,4,1022,0
64,284.0,5,235.0,8,1674,1
65,151.0,3,124.0,4,986,0
66,145.0,2,123.0,4,960,0
67,153.0,4,121.0,4,992,0
68,94.0,1,83.0,2,882,0
69,165.0,6,123.0,4,1090,0
70,116.0,0,104.0,4,908,0
71,161.0,5,124.0,4,1032,0
72,165.0,6,123.0,4,1016,0
73,131.0,2,109.0,4,1132,0
74,154.0,4,122.0,4,954,0
75,159.0,5,122.0,4,1042,0
76,161.0,5,124.0,4,1034,0
77,154.0,4,122.0,4,946,0
78,155.0,4,123.0,4,1050,0
79,128.0,4,99.0,3,998,0
80,151.0,3,124.0,4,1022,0
81,155.0,4,123.0,4,1004,0
82,156.0,4,124.0,4,1056,0
83,126.0,1,109.0,4,848,0
84,144.0,2,122.0,4,960,0
85,116.0,4,90.0,2,738,0
86,156.0,4,124.0,4,1120,0
87,145.0,2,123.0,4,1052,0
88,152.0,4,120.0,4,966,0
89,149.0,3,122.0,4,996,0
90,139.0,2,117.0,4,978,0
91,129.0,1,112.0,4,860,0
92,167.0,6,125.0,4,1242,0
93,156.0,4,124.0,4,1024,0
94,131.0,0,119.0,4,4000,0
95,166.0,6,124.0,4,1182,0
96,161.0,5,124.0,4,1224,0
97,157.0,4,125.0,4,1070,0
98,152.0,3,125.0,4,1136,0
99,156.0,4,124.0,4,994,0
100,160.0,5,123.0,4,1130,0
